"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/1996","116","CO","Lynwood","06-037-1301","AQS"
"01/02/1996","118","CO","Lynwood","06-037-1301","AQS"
"01/03/1996","99","CO","Lynwood","06-037-1301","AQS"
"01/04/1996","75","CO","Lynwood","06-037-1301","AQS"
"01/05/1996","79","NO2","SITE IS LOCATED ONE HALF MILE EAST OF THE I-57/I-60 INTERCHANGE","06-037-0206","AQS"
"01/06/1996","173","CO","Lynwood","06-037-1301","AQS"
"01/07/1996","178","CO","Lynwood","06-037-1301","AQS"
"01/08/1996","173","CO","Lynwood","06-037-1301","AQS"
"01/09/1996","119","NO2","Los Angeles-North Main Street","06-037-1103","AQS"
"01/10/1996","128","NO2","Los Angeles-North Main Street","06-037-1103","AQS"
"01/11/1996","128","CO","Lynwood","06-037-1301","AQS"
"01/12/1996","135","CO","Lynwood","06-037-1301","AQS"
"01/13/1996","214","CO","Lynwood","06-037-1301","AQS"
"01/14/1996","105","NO2","Pasadena","06-037-2005","AQS"
"01/15/1996","110","NO2","Azusa","06-037-0002","AQS"
"01/16/1996","64","NO2","Azusa","06-037-0002","AQS"
"01/17/1996","55","NO2","Pomona","06-037-1701","AQS"
"01/18/1996","69","NO2","Glendora","06-037-0016","AQS"
"01/19/1996","57","NO2","Pomona","06-037-1701","AQS"
"01/20/1996","79","NO2","Pomona","06-037-1701","AQS"
"01/21/1996","86","CO","Lynwood","06-037-1301","AQS"
"01/22/1996","57","NO2","Pomona","06-037-1701","AQS"
"01/23/1996","68","NO2","Pomona","06-037-1701","AQS"
"01/24/1996","102","NO2","West Los Angeles","06-037-0113","AQS"
"01/25/1996","78","NO2","West Los Angeles","06-037-0113","AQS"
"01/26/1996","80","NO2","Long Beach (North)","06-037-4002","AQS"
"01/27/1996","93","CO","Lynwood","06-037-1301","AQS"
"01/28/1996","57","NO2","West Los Angeles","06-037-0113","AQS"
"01/29/1996","58","NO2","West Los Angeles","06-037-0113","AQS"
"01/30/1996","101","NO2","Reseda","06-037-1201","AQS"
"01/31/1996","46","NO2","","06-037-1601","AQS"
"02/01/1996","63","NO2","","06-037-1601","AQS"
"02/02/1996","48","NO2","Azusa","06-037-0002","AQS"
"02/03/1996","48","NO2","Azusa","06-037-0002","AQS"
"02/04/1996","74","NO2","Azusa","06-037-0002","AQS"
"02/05/1996","76","NO2","","06-037-1601","AQS"
"02/06/1996","103","NO2","Pasadena","06-037-2005","AQS"
"02/07/1996","147","CO","Lynwood","06-037-1301","AQS"
"02/08/1996","151","CO","Lynwood","06-037-1301","AQS"
"02/09/1996","67","NO2","Azusa","06-037-0002","AQS"
"02/10/1996","54","NO2","Azusa","06-037-0002","AQS"
"02/11/1996","68","NO2","Azusa","06-037-0002","AQS"
"02/12/1996","68","NO2","Los Angeles-North Main Street","06-037-1103","AQS"
"02/13/1996","69","NO2","Hawthorne","06-037-5001","AQS"
"02/14/1996","106","NO2","Azusa","06-037-0002","AQS"
"02/15/1996","106","NO2","Pasadena","06-037-2005","AQS"
"02/16/1996","89","NO2","Azusa","06-037-0002","AQS"
"02/17/1996","49","NO2","Azusa","06-037-0002","AQS"
"02/18/1996","49","NO2","Azusa","06-037-0002","AQS"
"02/19/1996","42","NO2","Azusa","06-037-0002","AQS"
"02/20/1996","42","NO2","Azusa","06-037-0002","AQS"
"02/21/1996","46","NO2","","06-037-1601","AQS"
"02/22/1996","61","CO","Lynwood","06-037-1301","AQS"
"02/23/1996","58","NO2","Azusa","06-037-0002","AQS"
"02/24/1996","59","CO","Lynwood","06-037-1301","AQS"
"02/25/1996","45","NO2","Azusa","06-037-0002","AQS"
"02/26/1996","55","NO2","","06-037-1601","AQS"
"02/27/1996","52","NO2","Reseda","06-037-1201","AQS"
"02/28/1996","54","NO2","Long Beach (North)","06-037-4002","AQS"
"02/29/1996","57","NO2","SITE IS LOCATED ONE HALF MILE EAST OF THE I-57/I-60 INTERCHANGE","06-037-0206","AQS"
"03/01/1996","68","NO2","Azusa","06-037-0002","AQS"
"03/02/1996","77","CO","Lynwood","06-037-1301","AQS"
"03/03/1996","82","NO2","Reseda","06-037-1201","AQS"
"03/04/1996","47","NO2","Azusa","06-037-0002","AQS"
"03/05/1996","69","NO2","Reseda","06-037-1201","AQS"
"03/06/1996","101","NO2","Reseda","06-037-1201","AQS"
"03/07/1996","74","NO2","","06-037-1601","AQS"
"03/08/1996","103","NO2","","06-037-1601","AQS"
"03/09/1996","95","NO2","","06-037-1601","AQS"
"03/10/1996","72","NO2","West Los Angeles","06-037-0113","AQS"
"03/11/1996","44","NO2","Azusa","06-037-0002","AQS"
"03/12/1996","42","NO2","Long Beach (North)","06-037-4002","AQS"
"03/13/1996","54","NO2","West Los Angeles","06-037-0113","AQS"
"03/14/1996","64","NO2","Azusa","06-037-0002","AQS"
"03/15/1996","73","NO2","Azusa","06-037-0002","AQS"
"03/16/1996","74","Ozone","Hawthorne","06-037-5001","AQS"
"03/17/1996","74","Ozone","","06-037-6002","AQS"
"03/18/1996","101","Ozone","Hawthorne","06-037-5001","AQS"
"03/19/1996","107","NO2","Azusa","06-037-0002","AQS"
"03/20/1996","161","Ozone","Hawthorne","06-037-5001","AQS"
"03/21/1996","136","Ozone","West Los Angeles","06-037-0113","AQS"
"03/22/1996","58","Ozone","Hawthorne","06-037-5001","AQS"
"03/23/1996","48","NO2","","06-037-1601","AQS"
"03/24/1996","50","NO2","Lynwood","06-037-1301","AQS"
"03/25/1996","48","NO2","Lynwood","06-037-1301","AQS"
"03/26/1996","58","NO2","Hawthorne","06-037-5001","AQS"
"03/27/1996","85","NO2","Reseda","06-037-1201","AQS"
"03/28/1996","62","NO2","Reseda","06-037-1201","AQS"
"03/29/1996","56","NO2","Pasadena","06-037-2005","AQS"
"03/30/1996","78","NO2","Hawthorne","06-037-5001","AQS"
"03/31/1996","77","Ozone","Glendora","06-037-0016","AQS"
"04/01/1996","63","NO2","Hawthorne","06-037-5001","AQS"
"04/02/1996","44","NO2","Azusa","06-037-0002","AQS"
"04/03/1996","53","NO2","Lynwood","06-037-1301","AQS"
"04/04/1996","77","NO2","Long Beach (North)","06-037-4002","AQS"
"04/05/1996","93","NO2","Lynwood","06-037-1301","AQS"
"04/06/1996","83","CO","Lynwood","06-037-1301","AQS"
"04/07/1996","140","Ozone","","06-037-1601","AQS"
"04/08/1996","90","NO2","Azusa","06-037-0002","AQS"
"04/09/1996","57","NO2","Lancaster-Ponderosa St.","06-037-9002","AQS"
"04/10/1996","52","PM10","Lancaster-Ponderosa St.","06-037-9002","AQS"
"04/11/1996","54","NO2","Reseda","06-037-1201","AQS"
"04/12/1996","53","NO2","West Los Angeles","06-037-0113","AQS"
